title,employer,address,min_salary,max_salary,currency,link
"Sales Analyst, Kazakhstan",ТОО Bacardi-Martini Kazakhstan (Бакарди-Мартини Казахстан),Алматы,,,,https://hh.kz/vacancy/52941758?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Data analyst in Marketing,ТОО AVIATA.KZ,Алматы,,,,https://hh.kz/vacancy/51995496?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Product/Data Analyst (Junior),KIVORK,Алматы,,1000,USD,https://hh.kz/vacancy/53068616?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Business Analyst in Client Operations (Remote),Novakid Inc,Алматы,3200,,USD,https://hh.kz/vacancy/52061940?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Junior BI Analyst,ТОО OrientSwiss,Алматы,,,,https://hh.kz/vacancy/51958259?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Product/Data Analyst (Junior),KIVORK,Нур-Султан,,1000,USD,https://hh.kz/vacancy/53068615?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Data analyst,"BI GROUP, ТМ (ТОО BI Support)",Нур-Султан,,,,https://hh.kz/vacancy/52983675?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Product / Data Analyst (Middle),KIVORK,Алматы,,,,https://hh.kz/vacancy/50801935?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Marketing specialist,ТОО Samsung Electronics Central Eurasia LLP.,Алматы,,,,https://hh.kz/vacancy/52875232?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Sales Analyst (O/S Position),ТОО LG Electronics Almaty Kazakhstan,Алматы,,,,https://hh.kz/vacancy/52829634?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Middle Data Analyst, Data Warehouse",DataArt,Алматы,,,,https://hh.kz/vacancy/52892335?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Web аналитик\ Marketing performance analyst,УП Центр делового развития,Алматы,,,,https://hh.kz/vacancy/52851264?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Product / Data Analyst (Middle),KIVORK,Нур-Султан,,,,https://hh.kz/vacancy/50801936?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Web аналитик\ Marketing performance analyst,УП Центр делового развития,Нур-Султан,,,,https://hh.kz/vacancy/52851265?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
PPC Manager (Google/Bing),KIVORK,Нур-Султан,,,,https://hh.kz/vacancy/52242556?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Cash and Trade Processing Analyst,АО Ситибанк Казахстан,Алматы,400000,,KZT,https://hh.kz/vacancy/52740392?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Digital-аналитик (Google Analytics, Firebase, AppMetrika)","Beeline, ТМ",Алматы,,,,https://hh.kz/vacancy/52649171?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
PPC Manager (Google/Bing),KIVORK,Алматы,,,,https://hh.kz/vacancy/52242557?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Junior Digital Marketing (Paid Acquisition) Specialist,DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52902424?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Digital manager,ТОО HeadHunter::Казахстан,"Алматы, Алатау",300000,,KZT,https://hh.kz/vacancy/51991629?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Senior Display Specialist,"Марс, Wrigley",Алматы,,,,https://hh.kz/vacancy/51989935?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Маркетолог,ТОО Bravo Commodities,Алматы,350000,,KZT,https://hh.kz/vacancy/51803220?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Tech Product Manager,ТОО Relog.kz,"Алматы, Абая",400000,1000000,KZT,https://hh.kz/vacancy/51044952?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Таргетолог Middle+,ИП MarkCo,Алматы,120000,200000,KZT,https://hh.kz/vacancy/52921079?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Media & Digital manager,ТОО GTR,Алматы,,,,https://hh.kz/vacancy/53059772?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Маркетолог,ТОО Титан-Азия,Алматы,,,,https://hh.kz/vacancy/53017384?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Руководитель проекта E-Commerce (СНГ),ТОО Askona Life Kazakhstan (Аскона Лайф Казахстан),Алматы,1000000,,KZT,https://hh.kz/vacancy/51996994?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Trade Architecture Manager,"Марс, Wrigley",Алматы,,,,https://hh.kz/vacancy/50704632?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Product Owner of Imunify Operations [Remote],Cloud Linux,Нур-Султан,,,,https://hh.kz/vacancy/52073768?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Интернет-маркетолог,ТОО Линия Безопасности 101,"Алматы, Райымбек батыра",170000,250000,KZT,https://hh.kz/vacancy/53110714?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Audit Advanced Specialist (A2),ТОО Grant Thornton,Алматы,,,,https://hh.kz/vacancy/52294550?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Product Owner of Imunify Operations [Remote],Cloud Linux,Алматы,,,,https://hh.kz/vacancy/52073791?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Ассистент менеджера по маркетингу (Digital marketing manager),ТОО Астро БТ,Алматы,150000,200000,KZT,https://hh.kz/vacancy/52324220?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Brand Manager,ТОО АНКОР Центральная Азия,Алматы,,,,https://hh.kz/vacancy/51347927?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Аккаунт менеджер — Junior,ТОО IMARKETING,Алматы,,,,https://hh.kz/vacancy/52793796?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Product Manager (CNS),Johnson & Johnson,Алматы,,,,https://hh.kz/vacancy/52080212?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Менеджер по маркетингу,ТОО МФО Swiss Capital (Свисс Капитал),Алматы,,,,https://hh.kz/vacancy/52687894?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Маркетолог,ТОО NLS Kazakhstan,Алматы,300000,,KZT,https://hh.kz/vacancy/52942225?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Regional Head of E-commerce Logistics,ТОО OrientSwiss,Алматы,,,,https://hh.kz/vacancy/52313847?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Audit Specialist (A1),ТОО Grant Thornton,Алматы,,,,https://hh.kz/vacancy/52613882?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Regional Head of E-commerce Logistics,ТОО OrientSwiss,Алматы,,,,https://hh.kz/vacancy/52313847?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Tech Product Manager,ТОО Relog.kz,"Алматы, Абая",400000,1000000,KZT,https://hh.kz/vacancy/51044952?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Product Manager (CNS),Johnson & Johnson,Алматы,,,,https://hh.kz/vacancy/52080212?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Маркетолог,ТОО NLS Kazakhstan,Алматы,300000,,KZT,https://hh.kz/vacancy/52942225?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Brand Manager,ТОО АНКОР Центральная Азия,Алматы,,,,https://hh.kz/vacancy/51347927?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Интернет-маркетолог,ТОО Линия Безопасности 101,"Алматы, Райымбек батыра",170000,250000,KZT,https://hh.kz/vacancy/53110714?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Audit Specialist (A1),ТОО Grant Thornton,Алматы,,,,https://hh.kz/vacancy/52613882?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Менеджер по маркетингу,ТОО РПК «Narujka.kz»,"Алматы, Драмтеатр имени Ауэзова",200000,400000,KZT,https://hh.kz/vacancy/52749959?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Менеджер по маркетингу,ТОО ASTER AUTO,Алматы,,,,https://hh.kz/vacancy/51167080?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Distribution Development & Sales Engineering Leader,"Марс, Wrigley",Алматы,,,,https://hh.kz/vacancy/52094292?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Compliance AML KYC Analyst,АО Ситибанк Казахстан,Алматы,420000,,KZT,https://hh.kz/vacancy/53095307?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior Consultant (Strategy and Operations, Management Consulting department)",ТОО KPMG,Алматы,,,,https://hh.kz/vacancy/53126698?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Product Owner of Imunify Operations [Remote],Cloud Linux,Алматы,,,,https://hh.kz/vacancy/52073791?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Специалист по маркетингу и рекламе,ТОО Hayat Construction Group,Алматы,,,,https://hh.kz/vacancy/52869375?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
SMM-менеджер,ТОО Mycar Raiymbek,"Алматы, Райымбек батыра",,,,https://hh.kz/vacancy/52456516?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Supply Chain Management Specialist,ТОО LG Electronics Almaty Kazakhstan,Алматы,,,,https://hh.kz/vacancy/52070184?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Product Owner of Imunify Operations [Remote],Cloud Linux,Нур-Султан,,,,https://hh.kz/vacancy/52073768?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Помощник интернет-маркетолога,ТОО Азимут- Трейд,Караганда,90000,120000,KZT,https://hh.kz/vacancy/52673129?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
SMM-менеджер,ТОО ZakazBuketov.Kz Astana,Нур-Султан,,,,https://hh.kz/vacancy/52104443?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Менеджер по маркетингу и рекламе,ТОО MASNAGET Digital Studio,Нур-Султан,280000,,KZT,https://hh.kz/vacancy/52141325?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Менеджер по digital-маркетингу,"Beeline, ТМ",Алматы,,,,https://hh.kz/vacancy/52953233?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Junior Administrative Assistant - Shared Service Center Group - ICS Department,"Deloitte, Caspian Region","Алматы, Абая",,,,https://hh.kz/vacancy/52950107?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Junior Brand Manager,ТОО АНКОР Центральная Азия,Алматы,,,,https://hh.kz/vacancy/50450598?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Financial reporting specialist,ТОО Hamle,Каскелен,,,,https://hh.kz/vacancy/52943296?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Junior Key Account Manager (consumer electronics),ТОО АНКОР Центральная Азия,Алматы,,,,https://hh.kz/vacancy/52592896?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
IT Specialist,ТОО Tenaz Management,Атырау,500000,500000,KZT,https://hh.kz/vacancy/52940225?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Медиа менеджер,ТОО АНКОР Центральная Азия,Алматы,,,,https://hh.kz/vacancy/52037222?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Advisor/Member Compliance,ТОО АНТАЛ БИЗНЕС РЕШЕНИЯ (ТМ Antal Kazakhstan),Алматы,,380000,KZT,https://hh.kz/vacancy/52939461?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Middle Cloud Engineer (Tencent/Alibaba), Financial Systems",DataArt,Алматы,,,,https://hh.kz/vacancy/52941841?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Cabinet controller,ТОО АНКОР Центральная Азия,Алматы,,,,https://hh.kz/vacancy/52231352?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Middle Cloud Engineer (Tencent/Alibaba), Financial Systems",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52941840?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior DevOps Engineer (AWS), Investment Management Solutions",DataArt,Алматы,,,,https://hh.kz/vacancy/52942306?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior DevOps Engineer (AWS), Investment Management Solutions",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52942307?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
UI/UX дизайнер - Team Lead designer,ТОО GMN,Нур-Султан,,,,https://hh.kz/vacancy/52936851?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Manager, Legal Group, Tax & Legal Department",ТОО KPMG,Нур-Султан,,,,https://hh.kz/vacancy/52938599?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Manager, Legal Group, Tax & Legal Department",ТОО KPMG,Алматы,,,,https://hh.kz/vacancy/52938602?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Audit/Tax Analyst,ТОО Bolashak Atyrau,Атырау,,,,https://hh.kz/vacancy/52920009?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Production Services Analyst,DataArt,Алматы,,,,https://hh.kz/vacancy/52893891?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Middle Data Analyst, Data Warehouse",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52892336?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Production Services Analyst,DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52893892?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
React Native Team Lead,DataArt,Алматы,,,,https://hh.kz/vacancy/52617548?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior QA Automation Engineer, Betting Platform",DataArt,Алматы,,,,https://hh.kz/vacancy/52622533?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
SAP Coordinator,ТОО Стамгазстрой,Актау,,,,https://hh.kz/vacancy/52602543?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Scala TeamLead / Scala Architect, Cruise Company",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52582856?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Scala TeamLead / Scala Architect, Cruise Company",DataArt,Алматы,,,,https://hh.kz/vacancy/52582855?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Program and Administrative Assistant,Нек. орг. Филиал Винрокского международного института по развитию сельского хозяйства в Республике Казахстан,Алматы,,,,https://hh.kz/vacancy/52585913?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior Big Data Engineer, Investment Management Solutions",DataArt,Алматы,,,,https://hh.kz/vacancy/50377379?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior Big Data Engineer, Investment Management Solutions",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/50377380?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior Java Engineer, Investment Management Solution",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52582899?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Middle Java Engineer, Communication Services",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52584677?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
